User ID,Age,Gender,Location,Phone Brand,OS,Screen Time (hrs/day),Data Usage (GB/month),Calls Duration (mins/day),Number of Apps Installed,Social Media Time (hrs/day),E-commerce Spend (INR/month),Streaming Time (hrs/day),Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use
U00001,0.844444444,1.844444444,2.844444444,Vivo,0,3.7,23.9,37.9,104,3.9,469,5.2,4.1,0.37,Education
U00002,1,2,3,Realme,1,9.2,28.1,13.7,169,2.8,4997,5.1,0.4,0.432105263,Gaming
U00003,0.501872899,1.501872899,2.501872899,Nokia,0,4.5,12.3,66.8,96,3,2381,1.7,2.9,0.799473684,Entertainment
U00004,0.377777778,1.377777778,2.377777778,Samsung,0,11,25.6,156.2,146,5.2,1185,3.2,0.3,0.768421053,Entertainment
U00005,0.022222222,1.022222222,2.022222222,Xiaomi,1,2.2,2.5,236.2,86,5.5,106,3.4,2.3,0.337894737,Social Media
U00006,0.133333333,1.133333333,2.133333333,Oppo,1,5.4,10.6,210.6,25,4.2,6285,0.6,4.8,0.867894737,Entertainment
U00007,0.933333333,1.933333333,2.933333333,Apple,1,6,35.2,154.5,123,0.8,2653,2.9,2.3,0.512105263,Social Media
U00008,0.911111111,1.911111111,2.911111111,Realme,1,3.1,43.5,125.3,188,2.3,9767,5.2,5,0.545263158,Entertainment
U00009,0.688888889,1.688888889,2.688888889,Oppo,0,5.3,46.4,21.3,194,3.7,2870,6.1,2.8,0.606842105,Entertainment
U00010,0.644444444,1.644444444,2.644444444,Apple,1,9.9,10.6,180.2,84,4.8,9193,7.6,0.4,0.035789474,Education
U00011,0.888888889,1.888888889,2.888888889,Nokia,0,1.6,23.7,192,27,3.1,9330,1.2,2.3,0.525263158,Work
U00012,0.577777778,1.577777778,2.577777778,Oppo,0,7.5,23.5,84.9,187,0.9,643,3.5,2.7,0.026842105,Social Media
U00013,0.844444444,1.844444444,2.844444444,Realme,1,10.5,1.4,33.7,137,4.5,7854,7.2,1.4,0.073684211,Education
U00014,0.444444444,1.444444444,2.444444444,Realme,0,10.3,32.4,247.1,124,5.2,3347,3.8,4.5,0.458947368,Social Media
U00015,0.4,1.4,2.4,Samsung,1,1.7,33.2,208.8,121,3,3185,4.2,0.5,0.497894737,Entertainment
U00016,0.822222222,1.822222222,2.822222222,Google Pixel,0,5.1,28.5,169.2,161,4.6,6175,4.4,4.3,0.878421053,Work
U00017,0.688888889,1.688888889,2.688888889,Apple,0,3.1,23.6,153.9,183,2.5,6242,6.2,0.4,0.831052632,Education
U00018,0.866666667,1.866666667,2.866666667,Apple,0,11.6,12.6,210.4,62,4.9,4642,0.9,4.1,0.663157895,Entertainment
U00019,0.777777778,1.777777778,2.777777778,Google Pixel,0,5.3,5.2,235.6,188,4.6,1120,1,0.8,0.81,Work
U00020,0.555555556,1.555555556,2.555555556,Motorola,1,9,38.9,289.6,62,2.4,8012,7.7,2,0.591578947,Work
U00021,1,2,3,Samsung,1,10.4,46,38,110,3,511,6.8,1.3,0.111052632,Social Media
U00022,0.977777778,1.977777778,2.977777778,Xiaomi,0,11.7,9.1,203.9,101,5.8,2579,2.6,4.1,0.182105263,Gaming
U00023,0.688888889,1.688888889,2.688888889,Samsung,0,8.1,15.5,206.8,77,5.9,1776,3.4,2.5,0.420526316,Social Media
U00024,0.022222222,1.022222222,2.022222222,Vivo,0,1.4,25.5,222,141,1.6,1119,2.8,0.4,0.535789474,Gaming
U00025,0.311111111,1.311111111,2.311111111,Realme,0,7,41.7,51,130,1.4,2604,3.5,1.6,0.554736842,Education
U00026,0.466666667,1.466666667,2.466666667,Vivo,1,5.6,47.4,155.4,123,5.9,1886,2.3,3,0.45,Work
U00027,0,1,2,Vivo,0,9.2,42.7,230.9,180,0.5,4611,1,2.5,0.057894737,Gaming
U00028,0.577777778,1.577777778,2.577777778,Realme,0,8.1,44.1,81.8,25,1.9,5545,5.7,3.7,0.730526316,Education
U00029,0.8,1.8,2.8,Vivo,1,10.7,45.1,94,127,3.5,2293,6.7,5,0.122631579,Education
U00030,0.666666667,1.666666667,2.666666667,Realme,0,6.3,34.5,244.3,125,5,1647,5.9,0.2,0.758421053,Entertainment
U00031,0.533333333,1.533333333,2.533333333,Motorola,0,4,9.4,194.2,32,1.5,8314,6.7,3.5,0.182631579,Entertainment
U00032,0.555555556,1.555555556,2.555555556,OnePlus,0,8.4,25.7,262.8,174,1.3,3010,4.9,3,0.167894737,Education
U00033,0.288888889,1.288888889,2.288888889,Xiaomi,1,5.3,16.8,264.9,84,1.3,9222,7.2,3,0.841578947,Social Media
U00034,0.177777778,1.177777778,2.177777778,Motorola,0,11.4,48.4,216.8,98,3.2,5026,2.7,4.9,0.515263158,Gaming
U00035,0.933333333,1.933333333,2.933333333,Vivo,1,4.1,31.2,61.5,149,5.1,386,3.9,1,0.965789474,Social Media
U00036,0.177777778,1.177777778,2.177777778,Vivo,1,10.7,29,9,175,2.9,633,6.4,0,0.655263158,Social Media
U00037,0.911111111,1.911111111,2.911111111,Nokia,0,9.4,42.1,246.7,113,4.9,498,0.9,4.3,0.464210526,Work
U00038,0.111111111,1.111111111,2.111111111,Samsung,1,11.9,45.5,195.8,150,4.1,479,5.6,1.7,0.036315789,Education
U00039,0.155555556,1.155555556,2.155555556,Google Pixel,0,1.6,34.1,6,153,5.8,5175,5.7,2.2,0.371052632,Work
U00040,0.088888889,1.088888889,2.088888889,Apple,1,5.5,2.9,212.5,129,5.6,8514,7.9,0.8,0.287894737,Education
U00041,0.755555556,1.755555556,2.755555556,Samsung,1,5.2,43.4,151.8,114,5.6,3826,6.8,3.1,0.574736842,Social Media
U00042,0.866666667,1.866666667,2.866666667,Vivo,1,2.2,22,30.8,156,1.8,8307,1.1,3,0.888421053,Social Media
U00043,0.555555556,1.555555556,2.555555556,Vivo,1,2.5,10.6,219.1,113,1.8,238,0.9,2.2,0.96,Work
U00044,0.822222222,1.822222222,2.822222222,Xiaomi,1,4.4,33.8,189.3,44,3.8,1869,3.6,2.4,0.674736842,Social Media
U00045,0.6,1.6,2.6,Google Pixel,1,4.2,3.4,171.6,108,3.3,5178,1.3,4.8,0.116842105,Education
U00046,0.177777778,1.177777778,2.177777778,Samsung,1,4.3,26.4,210.5,53,5.3,1250,7.5,0.6,0.112631579,Entertainment
U00047,0.8,1.8,2.8,Samsung,1,10.7,17.6,293.4,65,5.2,3313,1.8,1.3,0.641578947,Education
U00048,0.088888889,1.088888889,2.088888889,Realme,1,3.1,24.8,82.1,75,3.9,1396,2,1.6,0.602631579,Social Media
U00049,0.822222222,1.822222222,2.822222222,Xiaomi,0,1.5,41,95.5,140,5.5,8029,5,0.1,0.369473684,Social Media
U00050,0.044444444,1.044444444,2.044444444,Apple,1,4.7,30.4,157.7,187,2.6,9189,4.3,4.9,0.368947368,Entertainment
U00051,0.355555556,1.355555556,2.355555556,Nokia,1,10.4,41.1,32.5,171,3.5,7702,7.1,0.8,0.912105263,Education
U00052,0.755555556,1.755555556,2.755555556,OnePlus,0,8.6,46,181.8,154,1.6,4264,7.5,0.4,0.548421053,Social Media
U00053,0.133333333,1.133333333,2.133333333,Motorola,1,9.4,15.4,10.6,34,2.5,3130,2.5,4.8,0.937894737,Education
U00054,0.8,1.8,2.8,OnePlus,1,5.4,15.8,115.7,115,3.2,2929,3,2.7,0.88,Social Media
U00055,0.377777778,1.377777778,2.377777778,Vivo,1,5.8,27.5,30,193,4,948,5.6,4.6,0.011578947,Social Media
U00056,0.622222222,1.622222222,2.622222222,Xiaomi,1,8.6,14.4,275.5,27,4.7,9544,3.6,3.4,0.681578947,Work
U00057,0.222222222,1.222222222,2.222222222,OnePlus,0,5.6,38,296.5,40,1.5,799,1,2.4,0.911052632,Work
U00058,0.022222222,1.022222222,2.022222222,Nokia,1,9,7.1,142.9,164,4.9,6088,2.1,1.9,0.308421053,Work
U00059,0.755555556,1.755555556,2.755555556,Motorola,1,3.4,17,235.4,52,2.8,7018,7.3,4.7,1,Education
U00060,0.444444444,1.444444444,2.444444444,Xiaomi,1,3,8.3,253.1,18,2.5,9494,3.1,4.6,0.199473684,Gaming
U00061,0.755555556,1.755555556,2.755555556,Apple,0,4.5,1.9,54.5,197,4.3,3575,6.7,0,0.304736842,Entertainment
U00062,0.422222222,1.422222222,2.422222222,Apple,1,3.5,20.6,134,73,5.6,2918,3,1,0.120526316,Entertainment
U00063,0.511111111,1.511111111,2.511111111,Oppo,1,1.3,9,119.7,36,2,5666,4,4.1,0.792105263,Education
U00064,0.511111111,1.511111111,2.511111111,OnePlus,1,3.2,13.2,206.3,31,3.2,3342,4.2,0.3,0.476315789,Work
U00065,0.577777778,1.577777778,2.577777778,Realme,0,2.5,9.3,111,69,0.6,2918,6.5,1.9,0.841578947,Education
U00066,0.577777778,1.577777778,2.577777778,Samsung,1,8.3,19.4,194.5,25,5.8,9918,5.3,3.5,0.358947368,Education
U00067,0.333333333,1.333333333,2.333333333,Samsung,0,1.7,10.4,74,64,2.5,468,4.9,4.1,0.663684211,Work
U00068,0.622222222,1.622222222,2.622222222,Google Pixel,1,3,24.3,151.7,143,1.1,4443,6.3,0.3,0.234736842,Education
U00069,0.555555556,1.555555556,2.555555556,Samsung,0,4.2,28.1,8.9,62,4.1,8932,7.3,0.8,0.057368421,Social Media
U00070,0.066666667,1.066666667,2.066666667,Oppo,1,5.3,10.4,257,116,2.3,4368,7.6,4.2,0.662631579,Gaming
U00071,0.2,1.2,2.2,Apple,1,11.2,14.7,241.5,158,1.4,563,2.3,3.5,0.918421053,Work
U00072,0.8,1.8,2.8,Oppo,0,11.9,47.8,21.5,68,4.3,7945,2.3,3.8,0.867894737,Social Media
U00073,0.177777778,1.177777778,2.177777778,Motorola,1,5.2,34.6,159.3,140,4.3,5816,7.8,2.8,0.687368421,Gaming
U00074,0.622222222,1.622222222,2.622222222,Realme,0,6.9,3,74.6,117,3.1,1883,5.2,1.8,0.004210526,Gaming
